bubble_policy,conservation_ratio,relative_gains_from_trade
Ecoregion (N = 219),0.1,0.606412624008277
Ecoregion (N = 219),0.11,0.5801550892204598
Ecoregion (N = 219),0.12,0.5560162911761576
Ecoregion (N = 219),0.13,0.5362268103517698
Ecoregion (N = 219),0.14,0.518121095362016
Ecoregion (N = 219),0.15,0.5020559697685811
Ecoregion (N = 219),0.16,0.4875268896635035
Ecoregion (N = 219),0.17,0.4740979192352571
Ecoregion (N = 219),0.18,0.4621813901680758
Ecoregion (N = 219),0.19,0.4513465678192171
Ecoregion (N = 219),0.2,0.44200167152239883
Ecoregion (N = 219),0.21,0.4341635430700165
Ecoregion (N = 219),0.22,0.426980632431802
Ecoregion (N = 219),0.23,0.4202295425584554
Ecoregion (N = 219),0.24,0.4136449631833421
Ecoregion (N = 219),0.25,0.4070986521052598
Ecoregion (N = 219),0.26,0.4007581696650064
Ecoregion (N = 219),0.27,0.3937521471707641
Ecoregion (N = 219),0.28,0.38650976871933035
Ecoregion (N = 219),0.29,0.3791226200745285
Ecoregion (N = 219),0.3,0.3723681692742646
Ecoregion (N = 219),0.31,0.3659516958617694
Ecoregion (N = 219),0.32,0.35998592505767063
Ecoregion (N = 219),0.33,0.3542121904437029
Ecoregion (N = 219),0.34,0.34789443555286953
Ecoregion (N = 219),0.35,0.3416332209003836
Ecoregion (N = 219),0.36,0.3353350192360633
Ecoregion (N = 219),0.37,0.3294769854946805
Ecoregion (N = 219),0.38,0.32403458731783535
Ecoregion (N = 219),0.39,0.3191500048287247
Ecoregion (N = 219),0.4,0.313990650966321
Ecoregion (N = 219),0.41,0.3086380175424832
Ecoregion (N = 219),0.42,0.30339495714034903
Ecoregion (N = 219),0.43,0.2980598249133919
Ecoregion (N = 219),0.44,0.29279488527839825
Ecoregion (N = 219),0.45,0.28775037231961825
Ecoregion (N = 219),0.46,0.2825867947282689
Ecoregion (N = 219),0.47,0.2776913870523195
Ecoregion (N = 219),0.48,0.27291489816946585
Ecoregion (N = 219),0.49,0.2677643711296324
Ecoregion (N = 219),0.5,0.2627982803065371
Ecoregion (N = 219),0.51,0.25782128563257484
Ecoregion (N = 219),0.52,0.2529044463020902
Ecoregion (N = 219),0.53,0.24818998344656057
Ecoregion (N = 219),0.54,0.2436654164019807
Ecoregion (N = 219),0.55,0.23877570286662228
Ecoregion (N = 219),0.56,0.23387613276851682
Ecoregion (N = 219),0.57,0.22899989684913657
Ecoregion (N = 219),0.58,0.2244411066308268
Ecoregion (N = 219),0.59,0.22000408033989483
Ecoregion (N = 219),0.6,0.21561936783014146
Ecoregion (N = 219),0.61,0.2111447990357924
Ecoregion (N = 219),0.62,0.20679904432602925
Ecoregion (N = 219),0.63,0.20244012929175753
Ecoregion (N = 219),0.64,0.1980199528255251
Ecoregion (N = 219),0.65,0.1936942436819042
Ecoregion (N = 219),0.66,0.18983864556055535
Ecoregion (N = 219),0.67,0.1861091904148055
Ecoregion (N = 219),0.68,0.18218178569507776
Ecoregion (N = 219),0.69,0.17771373611572486
Ecoregion (N = 219),0.7,0.1732888613757538
Ecoregion (N = 219),0.71,0.16891196152049662
Ecoregion (N = 219),0.72,0.16458365845694603
Ecoregion (N = 219),0.73,0.1604268620509091
Ecoregion (N = 219),0.74,0.15655058210000725
Ecoregion (N = 219),0.75,0.15290203491744925
Ecoregion (N = 219),0.76,0.14930350189357644
Ecoregion (N = 219),0.77,0.1457517491398286
Ecoregion (N = 219),0.78,0.14188300149183528
Ecoregion (N = 219),0.79,0.137515802943672
Ecoregion (N = 219),0.8,0.1329678933273825
Ecoregion (N = 219),0.81,0.12831055850502582
Ecoregion (N = 219),0.82,0.12326010026324576
Ecoregion (N = 219),0.83,0.11814422114970076
Ecoregion (N = 219),0.84,0.11276842623022645
Ecoregion (N = 219),0.85,0.1075550629193373
Ecoregion (N = 219),0.86,0.10240098095409192
Ecoregion (N = 219),0.87,0.09744095818268542
Ecoregion (N = 219),0.88,0.092175909190837
Ecoregion (N = 219),0.89,0.08652373641048101
Ecoregion (N = 219),0.9,0.08177104899218529
Ecoregion (N = 219),0.91,0.07677091020304748
Ecoregion (N = 219),0.92,0.07113112690877724
Ecoregion (N = 219),0.93,0.06429311074956022
Ecoregion (N = 219),0.94,0.056013207889658335
Ecoregion (N = 219),0.95,0.04691125214768911
Ecoregion (N = 219),0.96,0.03811468856752114
Ecoregion (N = 219),0.97,0.02936847145211844
Ecoregion (N = 219),0.98,0.02099178858825485
Ecoregion (N = 219),0.99,0.013052960945378288
Ecoregion (N = 219),1,0
Global (N = 1),0.1,0.9976786528924855
Global (N = 1),0.11,0.9973445010905354
Global (N = 1),0.12,0.9970354820100341
Global (N = 1),0.13,0.9967906106755302
Global (N = 1),0.14,0.9965373867797859
Global (N = 1),0.15,0.9962610914518977
Global (N = 1),0.16,0.9959326551114752
Global (N = 1),0.17,0.9955589045168285
Global (N = 1),0.18,0.9951413760501073
Global (N = 1),0.19,0.9946866619283004
Global (N = 1),0.2,0.9941897731137946
