iso3,ecoregion,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,Bounty and Antipodes Islands,222779.5467589979,46295.72242923836,274360.91036408045,222779.5467589979,46295.72242923836,274360.91036408045,0.7263500049589393,NA,0.7263500049589393,0.8131673906076173,0,0,0,0,Doesn't participate
ATF,Kerguelen Islands,132615.37381720002,426391.6699183621,155083.51666620706,134277.32724541525,455586.35350460553,157030.68116345652,17.566487177438894,NA,17.566487177438894,8.665069841291562e-4,29194.683586243464,-4.001776687800884e-11,58389.367172486905,-4.001776687800884e-11,Doesn't participate
HMD,Heard and Macdonald Islands,88264.6262244659,96793.91513579934,104174.10395217582,87804.49076291684,83919.89814014465,103624.46028482399,27.978754239705907,NA,27.978754239705907,0.3530279409056527,12874.016995654694,-25748.033991309385,0,0,Doesn't participate
HMD,Kerguelen Islands,4715.67269220202,17558.676166195422,5684.876164041994,3053.7192639868326,0.5937084574994982,3712.705159946428,3.7604249318766686e-4,NA,17.566487177438894,8.665069841291562e-4,29194.683586242696,-46752.76604398062,11636.601128504773,11636.601128504773,Sellers
CAN,Hudson Complex,672387.3183655982,73514.44177679879,882124.8539411669,672387.3183655982,73514.44177679879,882124.8539411669,0.8660399132354024,NA,0.8660399132354024,0.39325845569552464,0,0,0,0,Doesn't participate
CAN,Beaufort-Amundsen-Viscount Melville-Queen Maud,265256.58740034554,132920.67688992314,332906.8589661237,265256.58740034554,132920.67688992314,332906.8589661237,2.1392307239936863,NA,2.1392307239936863,0.8282813667895206,0,0,0,0,Doesn't participate
ARG,Channels and Fjords of Southern Chile,36632.78256254182,4260553.726255141,43121.54164597105,30532.092295764945,1492821.6390077085,36134.00289989548,367.7621560066202,NA,644.850273068438,0.9007900590771056,3934031.7844370287,-6701763.871684462,1166299.697189596,1166299.697189596,Sellers
CAN,Baffin Bay - Davis Strait,183666.01460684728,203429.33515673992,231730.9899327634,178895.0566642998,150206.73694478793,225989.7381646593,9.163237020920315,NA,13.082373228551388,0.15559894381669592,62415.45246212777,-115638.05067407976,9192.854250175791,9192.854250175791,Sellers
CAN,High Arctic Archipelago,227020.39441687346,92914.81513789162,266376.46505344147,226925.85059916784,92732.41350930577,266266.4643681928,1.9292813957840111,NA,1.9292813957840111,0.6766559516357662,182.40162858584827,-364.8032571717007,0,0,Doesn't participate
IRL,Celtic Seas,239419.76652416255,157851026.91374743,281058.18003232323,216789.40923201374,105063484.18043208,254672.25806141002,2001.328321204433,NA,2479.240060624573,0.9998080138596112,56106088.384942755,-108893631.1182581,3318545.6516274065,3318545.6516274065,Sellers
RUS,Laptev Sea,285538.56998910214,611565.9073785859,382593.12737392104,285538.56998910214,611565.9073785859,382593.12737392104,7.331291712719091,NA,7.331291712719091,0.404379996156752,0,0,0,0,Doesn't participate
PCN,Rapa-Pitcairn,242512.60150655877,11775.115985727505,316942.4203878447,260761.08134057606,14315.23401905549,340845.01620161254,0.15441680312399675,NA,0.12869073531054218,0.17496253851928056,2348.410288139285,191.7077451886994,4888.528321467269,191.7077451886994,Buyers
ATF,Crozet Islands,114736.26230886576,121203.59655931595,136681.28955981744,114736.26230886576,121203.59655931595,136681.28955981744,2.432524961378921,NA,2.432524961378921,0.8840481944802894,0,0,0,0,Doesn't participate
RUS,Kara Sea,524726.8150616678,671812.961376204,656938.133294178,524726.8150616678,671812.961376204,656938.133294178,6.380833916784928,NA,6.380833916784928,0.8057449136443786,0,0,0,0,Doesn't participate
PYF,Southern Cook/Austral Islands,331804.9377477878,469397.01713518094,413475.88030216994,456592.8554897305,767144.144144364,567357.3418558483,2.5523169448734087,NA,2.2462706904779064,0.010049914163933749,280307.4421494938,17439.684859689325,578054.5691586769,17439.684859689325,Buyers
PYF,Rapa-Pitcairn,251993.45957286435,504.7372485399246,328604.7783871897,233744.97973884706,190.9098557591315,304646.0577036561,0.0019124741676528143,NA,0.12869073531054218,0.17496253851928056,2348.410288139285,-2662.237680920078,2034.582895358492,2034.582895358492,Sellers
SJM,North and East Barents Sea,266471.2807282411,63685211.7666706,324767.4721752435,239686.2128601733,42371704.89545848,292374.2972025117,649.9129840449199,NA,963.4547562961077,0.8688722084294254,25806201.035203934,-47119707.90641605,4492694.163991816,4492694.163991816,Sellers
RUS,North and East Barents Sea,507465.7344002966,125676446.54675594,613892.393436426,538801.5297899456,157815705.5461484,652119.4583801756,1094.4903818615726,NA,963.4547562961077,0.8688722084294254,30190621.110478964,1948637.8889134862,62329880.10987142,1948637.8889134862,Buyers
PYF,Tuamotus,1191647.9374771947,2524003.9755479693,1422850.2652757617,1094384.8959292877,2198953.0057228133,1306600.2684886593,2.995805142592028,NA,4.465098347676928,0.11447488303117948,434289.0461055922,-759340.0159307483,109238.07628043625,109238.07628043625,Sellers
GRL,North Greenland,161466.83319492606,93734193.13480832,193299.66044992884,161822.5852303312,94391520.27580808,193726.84998285992,1848.5196352449932,NA,1842.387598212928,0.89792000886012735,655433.1380694319,1894.0029303323245,1312760.2790692002,1894.0029303323245,Buyers
TKL,Phoenix/Tokelau/Northern Cook Islands,222541.42328662655,102625.3638485074,282889.50126689905,186297.13419814385,1105.3817490270962,236878.97038559866,0.22370864070073454,NA,4.340583562324761,0.10038772990212141,157321.3654456147,-258841.34754509502,55801.3833461344,55801.3833461344,Sellers
CAN,Lancaster Sound,147248.23703838096,140653.03115965417,183897.5492672468,147248.23703838096,140653.03115965417,183897.5492672468,2.681197466880324,NA,2.681197466880324,0.3170924210174052,0,0,0,0,Doesn't participate
ISL,South and West Iceland,228012.10406355924,30509899.846358918,273022.63632918306,229584.0220307028,32112422.36538163,274862.5782265098,1045.0675340811927,NA,1001.3281959367766,0.6449427645327828,1574005.7822004622,28516.736822248437,3176528.3012231737,28516.736822248437,Buyers
ZAF,Agulhas Bank,239764.04075886335,182027.2794490935,263413.73558217444,239764.04075886335,182027.2794490935,263413.73558217444,12.426843016430372,NA,12.426843016430372,0.2160956997735619,0,0,0,0,Doesn't participate
ZAF,Prince Edward Islands,170457.65924940704,1203.5770251331687,207217.4705435314,170457.65924940704,1203.5770251331687,207217.4705435314,0.04556985630695469,NA,0.04556985630695469,0.060992836394076044,0,0,0,0,Doesn't participate
NIU,Tonga Islands,228642.09769918674,1461.6176500320435,278263.2214040312,193078.17031827732,799.2282116588174,235350.9461601671,0.008832291432618133,NA,0.3494474080244459,0.9266357105409225,12427.722242428415,-13090.111680801641,11765.33280405519,11765.33280405519,Sellers
RUS,East Siberian Sea,379117.34028717957,1659995.2180082493,496142.31489932106,379117.34028717957,1659995.2180082493,496142.31489932106,14.489055926766449,NA,14.489055926766449,0.18653296128263674,0,0,0,0,Doesn't participate
ZAF,Namaqua,162767.47446512012,128744.95656681061,183530.68951542178,148006.94511566198,39001.672343193924,165838.23194537495,3.1302163910106726,NA,10.826555709972196,0.15851245032703398,159805.69331058822,-249548.9775342049,70062.40908697154,70062.40908697154,Sellers
WLF,Samoa Islands,117133.0908265378,103620.59456181526,149907.29558110202,100001.34781884812,42350.286006099246,127888.37869770193,3.043300120508747,NA,4.152923364020971,0.29224580179290993,71146.81580303733,-132417.12435875335,9876.507247321315,9876.507247321315,Sellers
CAN,Northern Labrador,214406.60286326092,3136349.9160070796,250023.8538808752,214406.60286326092,3136349.9160070796,250023.8538808752,94.70209127563103,NA,94.70209127563103,0.6196022431090591,0,0,0,0,Doesn't participate
NAM,Namib,196800.7685110934,392284.7553556265,236858.83452669543,204160.37729402393,609856.0457911779,246763.85774584668,31.848556270427586,NA,23.768145003030064,0.3811020985875322,174924.2487182665,42647.04171728488,392495.53915381787,42647.04171728488,Buyers
ZAF,Natal,217346.80755842585,21499.085366911466,236023.26361817995,217346.80755842585,21499.085366911466,236023.26361817995,0.20102840455854837,NA,0.20102840455854837,0.09009723579726503,0,0,0,0,Doesn't participate
GEO,Black Sea,13155.290999185087,1233625.6190218925,20422.91714148615,10798.939751815367,831419.4187939578,16536.685100206025,160.10488810414745,NA,1256.6328432398675,0.20209904239509513,2961068.3676540186,-3363274.5678819534,2558862.1674260837,2558862.1674260837,Sellers
