iso3,global,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,Global,2395765.865394878,13351705.516305739,2814394.3105089064,2105546.887946721,2463464.4377554315,2470270.608129151,8.330333452790784,NA,116.45780417424845,0.2451520779797619,33798264.8433081,-44686505.92185841,22910023.764757793,22910023.764757793,Sellers
ATF,Global,896717.8919757402,6388065.045298681,1024034.1480172519,678827.0766447271,1778751.7735287705,780915.4883124939,6.2280689838746754,NA,116.45780417424845,0.2451520779797619,25375085.90318645,-29984399.174956363,20765772.63141654,20765772.63141654,Sellers
HMD,Global,109917.51856509477,1145929.159071154,130239.25481712121,92597.52685614573,103643.10589081835,109401.74902518874,27.978754239705907,NA,116.45780417424845,0.2451520779797619,2017048.2027403933,-3059334.2559207287,974762.1495600578,974762.1495600578,Sellers
CAN,Global,2902402.13508785,21682117.177901167,3589742.103634412,2872911.4045291077,18533261.083988387,3555118.536738515,97.76153978772338,NA,116.45780417424845,0.2451520779797619,3434425.7243655357,-6583281.818278316,285569.63045275584,285569.63045275584,Sellers
ARG,Global,58804.104367319385,1053698.1494118795,69567.21804782777,572582.234246936,527789447.2646512,682390.7948232085,1421.4054411099387,NA,116.45780417424845,0.2451520779797619,59833472.838531986,466902276.27670735,586569221.9537712,466902276.27670735,Buyers
IRL,Global,106671.73316102284,1613649.5543724447,124698.94441697336,219718.99584325714,111255838.37226,258124.75600210176,2208.646137560666,NA,116.45780417424845,0.2451520779797619,13165235.979882468,96476952.8380051,122807424.79777002,96476952.8380051,Buyers
RUS,Global,3234308.885136297,44949195.76259973,4102139.341052502,3833915.7943102666,291181754.01378304,4827835.981217324,893.7275586300345,NA,116.45780417424845,0.2451520779797619,69828904.01010853,176403654.24107477,316061462.26129186,176403654.24107477,Buyers
PCN,Global,363285.11149701074,703049.3157887757,476151.84534571145,272463.83362275804,15900.338851952074,356124.1201336585,0.17707460477492465,NA,116.45780417424845,0.2451520779797619,10576846.593534725,-11263995.570471548,9889697.616597902,9889697.616597902,Sellers
PYF,Global,3480774.3628981574,25891856.427961648,4159758.6390461256,2615352.2394591016,4404773.957705589,3119472.5149948015,2.6671486738867043,NA,116.45780417424845,0.2451520779797619,100785160.17952783,-122272242.6497839,79298077.70927177,79298077.70927177,Sellers
SJM,Global,206363.693930048,4987184.903557196,254396.2261451187,323007.78576136107,35672296.76829487,394060.8309387146,521.7939099823343,NA,116.45780417424845,0.2451520779797619,13584114.804574111,17100997.060163565,44269226.669311784,17100997.060163565,Buyers
GRL,Global,443232.24228019745,12657559.142056473,538636.1277197616,906914.0073041114,420381129.4714247,1077406.524073729,1904.6365186589223,NA,116.45780417424845,0.2451520779797619,53999360.19032485,353724210.1390434,461722930.5196931,353724210.1390434,Buyers
TKL,Global,251752.88405154573,521591.1988094449,319436.22869658784,188814.66303865932,2771.9574420623685,240108.73891096134,0.7281755394077835,NA,116.45780417424845,0.2451520779797619,7329647.017794294,-7848466.259161677,6810827.776426911,6810827.776426911,Sellers
ISL,Global,259324.58213853958,5302473.542369783,310093.3489904068,382201.94897289603,49357605.54224043,453949.8702071264,779.8875409841457,NA,116.45780417424845,0.2451520779797619,14310028.324242774,29745103.675627876,58365160.32411343,29745103.675627876,Buyers
ZAF,Global,1053818.7982199474,6038042.906191587,1190088.7196295965,835157.5138087318,68637.1336311623,937862.4662208438,0.9685395250562558,NA,116.45780417424845,0.2451520779797619,25464813.04045099,-31434218.813011415,19495407.267890565,19495407.267890565,Sellers
NIU,Global,260916.44637605041,322444.6013536453,319135.0553046284,195687.3347820378,822.8155920205197,238614.7559677947,0.009530590285663196,NA,116.45780417424845,0.2451520779797619,7596439.104475721,-7918060.890237345,7274817.318714096,7274817.318714096,Sellers
WLF,Global,156069.9633873814,841722.1341431141,200757.43648419046,117052.47254053605,66598.28271269218,149750.87458214484,3.043300120508747,NA,116.45780417424845,0.2451520779797619,4543891.308412448,-5319015.159842869,3768767.456982026,3768767.456982026,Sellers
NAM,Global,381329.5784786177,5531080.1928014755,473205.74489777884,318944.98432258534,1180664.551914573,386524.9946879848,39.16269849710845,NA,116.45780417424845,0.2451520779797619,7265172.849713182,-11615588.490600085,2914757.2088262793,2914757.2088262793,Sellers
GEO,Global,10392.84998908575,766402.4627718925,15878.417961998923,10944.871370083143,854783.7842075772,16773.238684037733,160.10488810414745,NA,116.45780417424845,0.2451520779797619,64287.19788819269,24094.123547491996,152668.5193238774,24094.123547491996,Buyers
BMU,Global,328044.3286330744,382789.4694290161,367017.1639823899,249294.1252808383,4902.384360121686,278510.17200748465,0.030748588669067434,NA,116.45780417424845,0.2451520779797619,9171075.760676956,-9548962.84574585,8793188.675608061,8793188.675608061,Sellers
MNP,Global,610388.6775714137,1995986.2967677116,709479.1099468991,457791.5081785603,690625.9815788555,528572.1693004677,3.5768382828434673,NA,116.45780417424845,0.2451520779797619,17771131.27069754,-19076491.585886396,16465770.955508685,16465770.955508685,Sellers
TWN,Global,163724.30221297304,3237195.290412903,182019.850175311,233098.4480266869,39184445.1181499,257816.50870011022,916.6756455764589,NA,116.45780417424845,0.2451520779797619,8079160.6879292475,27868089.13980775,44026410.51566625,27868089.13980775,Buyers
SHN,Global,1325909.1861273332,2352479.328573227,1472938.5127711853,1016973.1096334242,93582.95221272648,1131293.6375181815,0.1681606480516046,NA,116.45780417424845,0.2451520779797619,35978017.0986883,-38236913.475048795,33719120.7223278,33719120.7223278,Sellers
CHL,Global,1894257.0090676015,12267916.042598724,2256976.619245059,1604085.3651591658,6167456.892381729,1910709.6173080825,8.811481730668934,NA,116.45780417424845,0.2451520779797619,33792752.48320836,-39893211.633425355,27692293.33299136,27692293.33299136,Sellers
BHS,Global,280705.9600171875,739369.8028202057,337889.53410935396,364100.14377790206,49640036.32799916,437817.49138559337,666.1693112728844,NA,116.45780417424845,0.2451520779797619,9711903.521676585,39188763.00350237,58612570.04685554,39188763.00350237,Buyers
JAM,Global,198338.03325291205,1160803.9575338364,224326.7185559783,164938.46271180615,20898.51893872961,186723.01416016565,0.8655775503330692,NA,116.45780417424845,0.2451520779797619,3889640.6455801087,-5029546.084175216,2749735.206985002,2749735.206985002,Sellers
AIA,Global,72653.73760098673,733240.690237999,86735.78980871645,58640.726944121794,8413.736569601979,70208.05328973093,9.170735989340024,NA,116.45780417424845,0.2451520779797619,1631924.4509688334,-2356751.4046372306,907097.4973004364,907097.4973004364,Sellers
