iso3,global,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,Global,2541270.6529239397,56608897.07880574,2984761.90348757,2303154.7302335165,6445738.511319678,2706992.947614049,44.64085555691412,NA,521.603311252745,124202053.73732738,-174365212.30481344,74038895.16984133,74038895.16984133,Sellers
ATF,Global,926301.4259080307,12341597.99842368,1056827.160321211,748119.8944384521,2248732.6884013903,858138.300189169,7.600497645331689,NA,521.603311252745,92940076.8186174,-103032942.1286397,82847211.50859511,82847211.50859511,Sellers
HMD,Global,131101.08041933517,4991808.674696154,154738.59723985964,104772.74466083998,625061.3301622693,124575.67532784124,82.23615531959081,NA,521.603311252745,13732947.111405142,-18099694.455939025,9366199.766871257,9366199.766871257,Sellers
CAN,Global,3323564.6212147954,135662257.48258868,4085317.113428157,3142587.4869709774,68097670.9262366,3873298.1849488523,271.1765223772286,NA,521.603311252745,94398272.48260802,-161962859.0389601,26833685.92625594,26833685.92625594,Sellers
ARG,Global,96565.18881538523,14415670.02441188,113857.36772740498,626176.9954859985,606231853.6029322,749373.0281317862,1515.066024341679,NA,521.603311252745,276247272.0379405,315568911.5405798,868063455.6164608,315568911.5405798,Buyers
IRL,Global,142478.83044477244,13016326.163747445,167034.63865247092,240226.1021219612,159907635.50545847,283029.80692977645,2550.5615742698396,NA,521.603311252745,50985300.57274331,95906008.76896773,197876609.91445434,95906008.76896773,Buyers
RUS,Global,3652399.903751734,163277068.41103724,4608795.3189820945,4203907.742962486,765403758.0521055,5273936.685857098,1696.246561027472,NA,521.603311252745,287668315.11417466,314458374.5268937,889795004.755243,314458374.5268937,Buyers
PCN,Global,363285.1114970108,703049.3157887757,476151.8453457115,297893.79142754886,21296.504729393622,389838.56610920816,0.2660228904626414,NA,521.603311252745,34108329.07541943,-34790081.88647882,33426576.26436005,33426576.26436005,Sellers
PYF,Global,3487136.3192788027,26887593.834211648,4168156.804996823,2859451.7818086175,5111465.017397523,3414274.6266102945,3.217656943980737,NA,521.603311252745,327402333.1665963,-349178461.9834104,305626204.34978217,305626204.34978217,Sellers
SJM,Global,322985.8919300148,35660872.700432196,394034.5966438961,359348.40142938157,58855722.444803275,437841.9679443743,815.137961026146,NA,521.603311252745,18966805.360329088,4228044.384041991,42161655.10470016,4228044.384041991,Buyers
GRL,Global,581623.7769192646,55383582.46236897,697767.8836611289,997584.568734383,619044675.2835759,1185906.727165666,2512.6401989422966,NA,521.603311252745,216966526.36207947,346694566.4591274,780627619.1832864,346694566.4591274,Buyers
TKL,Global,251752.88405154576,521591.1988094449,319436.2286965879,206437.3649222675,41972.34842307707,264630.7296320916,3.2326788600932885,NA,521.603311252745,23636724.828968648,-24116343.679355014,23157105.97858228,23157105.97858228,Sellers
UKR,Global,78547.12558415663,13148992.91987282,115890.83978546388,72012.53704629991,10219851.511804394,109457.18008193612,426.3125015403013,NA,521.603311252745,3408463.0190202976,-6337604.4270887235,479321.6109518707,479321.6109518707,Sellers
ISL,Global,355756.4334732742,32336514.448619783,423201.5123922758,417874.13087703293,85145275.2230741,496621.72442304954,1225.332402570994,NA,521.603311252745,32400796.653196584,20407964.121257726,85209557.4276509,20407964.121257726,Buyers
ZAF,Global,1103824.238314181,19078418.218691587,1251655.7717388931,913105.5484308802,297451.11071725114,1027513.8278460553,6.571247988125087,NA,521.603311252745,99479500.16091517,-118260467.2688895,80698533.05294083,80698533.05294083,Sellers
NIU,Global,260916.44637605044,322444.6013536453,319135.0553046284,213951.48602836137,1111.3983121687406,260884.12650296453,0.0199112465561813,NA,521.603311252745,24497078.830208495,-24818412.03324997,24175745.62716702,24175745.62716702,Sellers
WLF,Global,156069.9633873814,841722.1341431141,200757.43648419046,127977.36997765275,104511.88496334683,164806.73579744485,3.582170871185285,NA,521.603311252745,14653189.744191507,-15390399.993371274,13915979.49501174,13915979.49501174,Sellers
