iso3,hemisphere,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,SW,310845.647292928,67487.02624287736,371402.1912738345,227961.73261781977,42619.44214599077,276113.43336392444,0.2719466645060547,NA,0.3494474080244459,28963.56915013591,-53831.1532470225,4095.985053249322,4095.985053249322,Sellers
ATF,SE,112620.41771005944,15271.75904379785,130905.87329706523,213575.30002971675,152300.32912835333,250996.9398904176,1.8035594808268405,NA,0.49235518236642634,49705.659495275984,87322.91058927949,186734.22957983147,87322.91058927949,Buyers
NZL,SE,558404.3463719183,152825.96052184608,667910.3987341707,550789.642831849,149110.93616842362,660355.4853777646,0.4845304648900201,NA,0.49235518236642634,3749.1387501370846,-7464.163103559542,34.114396714634495,34.114396714634495,Sellers
HMD,SE,75175.2176785663,1365.6582166617736,88541.86849254873,10849.635881770011,0.47013749076562866,14412.155019986376,1.315133826870703e-4,NA,0.49235518236642634,31671.033556388113,-33036.22163555912,30305.845477217106,30305.845477217106,Sellers
CAN,NW,1784742.488841578,759221.6653889604,2247214.4901533783,1062229.1367051266,25360.236536777036,1357495.560235869,0.17910527350341854,NA,2.0326589616219333,1468623.2401116614,-2202484.668963845,734761.811259478,734761.811259478,Sellers
ARG,SW,21926.50955300998,591.2232033833861,26310.76864505012,212731.69449894558,102026209.26085728,254207.46407329506,939.0977112404895,NA,0.3494474080244459,66676.37731698222,101958941.66033691,102092294.41497089,101958941.66033691,Buyers
IRL,NW,47371.621405498736,22704.242604866624,55544.913954410775,82028.42511481603,354299.7131917556,96918.83229971485,16.46750789568825,NA,2.0326589616219333,70445.46264091604,261150.0079459729,402040.933227805,261150.0079459729,Buyers
RUS,NE,1131211.8488259919,1520484.315176271,1440541.7017336977,1255014.5616540003,2401841.857994143,1602771.2383063496,7.923570251498505,NA,6.258382183096456,774804.6921818153,106552.85063605674,1656162.2349996874,106552.85063605674,Buyers
PCN,SW,304390.48096299917,23134.056450396776,398234.10939325806,101719.83121916304,1313.0182071911213,135372.23259825326,0.03416651137409599,NA,0.3494474080244459,70822.73323561386,-92643.77147881952,49001.69499240821,49001.69499240821,Sellers
PYF,SW,390435.1373496388,2810.366010963917,508881.5653965558,976398.1693980647,899325.2154104329,1186849.949428096,1.7471794496330098,NA,0.3494474080244459,204763.26274746776,691751.5866520012,1101278.1121469368,691751.5866520012,Buyers
SJM,NE,72989.15169088158,86917.05085028708,90956.75058287985,52220.67645094273,14721.671595325648,65508.17530781674,1.2077188959083833,NA,6.258382183096456,129977.05541171321,-202172.43466667464,57781.67615675178,57781.67615675178,Sellers
GRL,NW,55492.788971029004,37222.29601765424,67287.50953639678,298125.9519865742,3828233.2336991727,365237.3546187843,33.222091007631455,NA,2.0326589616219333,493190.47319022345,3297820.464491295,4284201.410871742,3297820.464491295,Buyers
TKL,SW,186627.4377895367,1179.2735164761543,237307.6489300199,70490.80753443282,100.8916957152093,91273.48090902831,0.0029206234574997232,NA,0.3494474080244459,40583.64441933949,-41662.02624010044,39505.26259857855,39505.26259857855,Sellers
UKR,NE,14471.764045998832,406.02729469537735,24416.704639884418,23429.6900608676,191114.61310950245,39795.169620128145,31.13572358126362,NA,6.258382183096456,56062.12456895094,134646.46124585613,246770.710383758,134646.46124585613,Buyers
ISL,NW,106669.83991161971,17802.597179353237,129320.48889746358,142688.72761654787,198148.45003104533,173603.69930928215,8.605156738156492,NA,2.0326589616219333,73214.11488107628,107131.73797061581,253559.9677327684,107131.73797061581,Buyers
ZAF,SE,810984.3058172017,51103.901674985886,910889.9954448596,311792.1384885932,748.9775160507729,361437.1485959194,0.004611020310720912,NA,0.49235518236642634,245779.85058096866,-296134.77473990375,195424.92642203355,195424.92642203355,Sellers
NIU,SW,228642.09769918674,1461.6176500320435,278263.2214040312,73056.60498529412,146.65164463556815,89931.03044476858,0.0031647617229538815,NA,0.3494474080244459,54368.94715507608,-55683.913160472555,53053.9811496796,53053.9811496796,Sellers
WLF,SW,70356.30694997427,7647.109301805496,89769.89587588604,43051.79674221514,1915.7677057245896,56808.247445354304,0.09809503852066001,NA,0.3494474080244459,9541.490319478453,-15272.83191555936,3810.1487233975463,3810.1487233975463,Sellers
"NAM",SE,235174.1707206799,7136.833304405212,279598.1894549841,119072.79414709855,534.8644297067685,140800.31885751907,0.006753590221468491,NA,0.49235518236642634,57163.11443587878,-63765.083310577225,50561.14556118033,50561.14556118033,Sellers
GEO,NE,1464.9214311502308,2.7752718925476074,2281.301538398671,4086.085311497707,200833.67891602986,6807.523500334589,77.31354625029311,NA,6.258382183096456,16404.245327742618,184426.6583163947,217235.14897187994,184426.6583163947,Buyers
