iso3,hemisphere,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,SW,649280.3470013594,410966.1826759828,760136.6103349669,353707.3670243694,84660.44639929106,420560.50310597627,0.48328616861596324,NA,1.9925651417813481,0.606415319087619,588948.4167545867,-915254.1530312785,262642.68047789496,262642.68047789496,Sellers
ATF,SE,432693.72237736447,672666.9754744619,506519.971705859,362059.9095876988,468349.11046392284,423935.33052771643,2.56422664967632,NA,3.184158393777576,0.6177285385929996,224909.2478787278,-429227.11288926686,20591.382868188724,20591.382868188724,Sellers
NZL,SE,1243163.3480352552,1092208.6002313187,1460323.1727316375,848489.384754146,406391.1214388209,1004331.6156323678,1.134544427203382,NA,3.184158393777576,0.6177285385929996,1256704.4129870068,-1942521.8917795047,570886.9341945089,570886.9341945089,Sellers
HMD,SE,84523.19868930537,21024.70692271646,99717.06605721325,36939.38832040055,14.943292729294544,44089.206886436186,0.0015454328008727822,NA,3.184158393777576,0.6177285385929996,151514.38919406873,-172524.1528240559,130504.62556408157,130504.62556408157,Sellers
CAN,NW,2233037.5799713726,2069929.9081225493,2793064.876333079,1640106.4562234185,499131.05411332246,2070427.5335364721,1.5975898343118164,NA,3.923656497123976,0.34990833533554755,2326458.0560406805,-3897256.9100499074,755659.2020314536,755659.2020314536,Sellers
ARG,SW,36544.916204644425,10171.74902125448,43307.147321279335,327577.61143979355,218586044.03455186,388848.5263069631,1111.7631765907486,NA,1.9925651417813481,0.606415319087619,579901.6036442327,217995970.68188637,219155773.88917485,217995970.68188637,Buyers
IRL,NW,50786.49620659933,32260.5831810385,59488.01623165356,125972.22428346745,6312649.6920668995,147388.26372644448,353.11554954841756,NA,3.923656497123976,0.34990833533554755,295002.97045980016,5985386.138426061,6575392.079345661,5985386.138426061,Buyers
RUS,NE,1932589.2395286316,10107465.114248537,2455299.6811013804,1991004.5369226292,10928443.008550419,2529291.888022364,14.242838111715248,NA,13.831359285067423,0.16379891564702276,807962.9660004445,13014.928301437525,1628940.8603023272,13014.928301437525,Buyers
PCN,SW,316886.77643771673,35034.19420674443,415118.72205387417,156212.59794371465,3812.6485370477803,204262.81993614297,0.06433228053830248,NA,1.9925651417813481,0.606415319087619,320153.7672515029,-351375.31292119954,288932.22158180625,288932.22158180625,Sellers
PYF,SW,1569701.4195341468,2008611.1830939862,1879576.401646556,1499468.617289885,1869838.1091685386,1797052.6494930726,1.9587315028713819,NA,1.9925651417813481,0.606415319087619,139943.433561539,-278716.50748698664,1170.3596360913943,1170.3596360913943,Sellers
SJM,NE,77803.73988554107,135352.57086981833,96821.71010107006,113350.74267134402,2774977.8343300074,140586.66008616856,114.89958102322574,NA,13.831359285067423,0.16379891564702276,491663.3670377332,2147961.896422456,3131288.630497922,2147961.896422456,Buyers
GRL,NW,75812.07473918641,97557.68917561322,92150.33654201974,492420.0121942988,21026670.964493364,595458.0416180784,251.10419742562834,NA,3.923656497123976,0.34990833533554755,1634626.4405491706,19294486.83476858,22563739.715866923,19294486.83476858,Buyers
TKL,SW,196095.47816453254,9946.542071163654,249465.59882397376,108253.74014216468,244.16653409974856,137570.58532382912,0.004267676115656656,NA,1.9925651417813481,0.606415319087619,175030.38517685945,-184732.76071392334,165328.00963979555,165328.00963979555,Sellers
UKR,NE,17211.41737411162,35480.57416969538,28813.618635782997,36924.925334598796,1459119.9281457053,59661.98802678966,158.72766936900544,NA,13.831359285067423,0.16379891564702276,272664.61137053487,1150974.742605475,1696303.9653465447,1150974.742605475,Buyers
ISL,NW,119533.31810777549,55361.726940095425,144704.29304095762,219129.11741112702,1997138.0004358322,262948.23528697406,50.83103298473942,NA,3.923656497123976,0.34990833533554755,390779.70502285083,1550996.568472886,2332555.9785185875,1550996.568472886,Buyers
