iso3,province,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,Subantarctic New Zealand,311011.7244112191,48993.99965305289,384344.9989995737,311011.7244112191,48993.99965305289,384344.9989995737,0.44747208752985934,NA,0.44747208752985934,0,0,0,0,Doesn't participate
ATF,Subantarctic Islands,153309.58229652268,12272.909817613745,69991.7112494854,153309.58229652265,59265.16028255716,179194.35233450137,1.5485420634956915,NA,0.11766651315353359,3.424546249255468e-12,46992.25046494341,46992.25046494342,46992.25046494342,Buyers
HMD,Subantarctic Islands,73606.35826156133,709.8442518180236,86696.69721717217,50853.922954336864,46.21029149508623,61210.45633637501,0.0032253795352703563,NA,0.11766651315353359,2677.1997283524493,-3340.833688675387,2013.565768029512,2013.565768029512,Sellers
CAN,Arctic,1393607.812454411,-6390593.107856158,2766388.7832660805,1393607.8124544108,198917.80610223004,1770897.0341779965,0.9399093083356097,NA,11.290697565467813,2.6288203814690497e-9,6589510.913958386,6589510.913958391,6589510.913958391,Buyers
ARG,Magellanic,278375.9975988179,201117785.08501235,182956.65969623916,278375.9975988179,215704609.12004647,331708.2540539641,1170.9057834254274,NA,939.0977112404895,0,14586824.03503412,14586824.03503412,14586824.03503412,Buyers
IRL,Northern European Seas,185291.1072267587,52705602.913747445,217850.04899583352,149408.9171734149,16864953.758517023,176322.79744434412,598.0682559175951,NA,1307.0434455112065,46899581.31981043,-82740230.47504085,11058932.164580006,11058932.164580006,Sellers
RUS,Arctic,1581339.7032674167,4644861.2035711035,2018716.2964575458,1379426.521135538,2706486.714988742,1757721.049590112,8.03466500196861,NA,11.290697565467813,2279740.673932263,-4218115.162514625,341366.1853499017,341366.1853499017,Sellers
PCN,Southeast Polynesia,316886.77643771673,35034.19420674443,415118.72205387417,185275.40686347554,5864.163520566367,242902.8394876269,0.07803530340076671,NA,2.0559354318526935,270584.477942342,-299754.50862852007,241414.44725616393,241414.44725616393,Sellers
PYF,Southeast Polynesia,1438486.8777551504,1877990.0317617622,1558118.8686666596,1438486.8777551504,1887457.68647263,1755234.9461382967,2.1649827666994814,NA,2.0559354318526935,0,9467.654710867675,9467.654710867675,9467.654710867675,Buyers
SJM,Arctic,125577.22399534617,326117.6364673525,156216.0787278063,198411.38918529145,4127538.3692661985,244843.91336184536,101.6673619877225,NA,11.290697565467813,822348.5315929957,2979072.20120585,4623769.264391841,2979072.20120585,Buyers
GRL,Arctic,155013.10611147614,680559.3193025663,189242.73215428976,596043.5109717521,63139584.708975956,714797.3944322013,551.3894414946411,NA,11.290697565467813,4979540.918453202,57479484.47122019,67438566.3081266,57479484.47122019,Buyers
TKL,Central Polynesia,207999.78294071616,47023.144121944904,264630.7296320916,128393.97086628835,333.77902661475264,164265.73964125785,0.004764786937083585,NA,3.3956960129976776,270317.1386725769,-317006.5037679071,223627.7735772468,223627.7735772468,Sellers
