iso3,realm,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,Southern Ocean,152571.41541808192,5601.521035963669,190746.79597002608,249065.0054894562,26938.471199946205,308907.7210663821,0.2965383096898766,NA,0.12567154788707643,12126.498825450637,9210.451338531899,33463.44898943317,9210.451338531899,Buyers
ATF,Southern Ocean,67004.28176403124,2130.7424117177725,78537.28535645694,110779.08162167837,14371.061892098138,130905.87329706523,0.48915412964703314,NA,0.12567154788707643,5501.246856557488,6739.072623822877,17741.566336937853,6739.072623822877,Buyers
HMD,Southern Ocean,73606.35826156133,709.8442518180236,86696.69721717217,33460.7546619165,10.436929538782012,41390.34256663222,0.0011928000121041366,NA,0.12567154788707643,5045.160145228353,-5744.567467507594,4345.752822949112,4345.752822949112,Sellers
CAN,Arctic,1986136.3827069425,1375269.989928145,2497867.4923833143,1117780.5134534521,38013.244838004706,1427757.3201294746,0.27759785496189926,NA,3.5268841305316805,3062590.534924178,-4399847.280014318,1725333.7898340377,1725333.7898340377,Sellers
ARG,Temperate South America,36544.916204644425,10171.74902125448,43307.147321279335,312264.8225143472,201823813.1794962,372684.6428037859,1080.4582419766125,NA,4.139293915525244,1141285.7305769431,200672355.699898,202954927.1610519,200672355.699898,Buyers
IRL,Temperate Northern Atlantic,96900.58916320611,795850.3356224447,113273.18395616922,120113.05106098062,4466861.52289685,141187.39524925416,294.7813009311496,NA,55.730258045210455,1293636.4914275892,2377374.6958468156,4964647.678701994,2377374.6958468156,Buyers
RUS,Arctic,1106525.4856111528,1012775.7898748145,1405198.3801057949,1086195.721143182,947736.6707600899,1379767.3982127118,2.9416970607910984,NA,3.5268841305316805,71700.72367953352,-136739.8427942581,6661.604564808891,6661.604564808891,Sellers
PCN,Eastern Indo-Pacific,319078.6661642583,39545.76110127568,417978.2320381348,148946.89571377446,3372.524200315814,197563.02131763558,0.057512774717229966,NA,2.5389506206626393,431956.16417968966,-468129.4010806495,395782.9272787298,395782.9272787298,Sellers
PYF,Eastern Indo-Pacific,2469802.9781163256,4025764.9548171163,2943895.4195839884,1429725.8909043092,1733998.1638422643,1714606.5755532407,1.9386794394323363,NA,2.5389506206626393,2640704.366113939,-4932471.15708879,348937.5751390869,348937.5751390869,Sellers
SJM,Arctic,87425.89345869981,74861.57213629782,109114.81315089515,146496.22394526238,688819.4286035637,182456.57468584206,23.31596263174194,NA,3.5268841305316805,208334.21117831924,405623.64528894663,822292.0676455852,405623.64528894663,Buyers
GRL,Arctic,466514.13749993563,1474534.2584840981,85793.2360130609,466514.1374999356,15825760.288764844,565762.3062713908,158.39201384344676,NA,3.5268841305316805,2.0529167555107738e-10,14351226.030280747,14351226.030280747,14351226.030280747,Buyers
TKL,Eastern Indo-Pacific,196095.47816453254,9946.542071163654,249465.59882397376,103218.68246113377,222.74679616839663,133896.3670682147,0.0042496173109239505,NA,2.5389506206626393,235809.5980963015,-245533.39337129676,226085.80282130622,226085.80282130622,Sellers
UKR,Temperate Northern Atlantic,26868.365240273604,318956.3886228204,44210.703381103296,35125.560631434644,1196483.0037520258,57455.28133813528,139.0110222615893,NA,55.730258045210455,460175.62987912726,417350.98525007814,1337702.2450083327,417350.98525007814,Buyers
ISL,Temperate Northern Atlantic,159683.62031686056,1255025.5054258704,192095.85550205156,132622.81758231326,391454.90356028953,161209.80455840167,17.59719889939863,NA,55.730258045210455,1508105.5193068574,-2371676.1211724384,644534.9174412765,644534.9174412765,Sellers
ZAF,Temperate Southern Africa,335267.9666317703,-1523.4106918608013,488722.41573790176,335267.9666317703,2526.460112791091,369506.8810649488,0.0404789448928243,NA,0.14783525549926094,0,4049.8708046518923,4049.8708046518923,4049.8708046518923,Buyers
ZAF,Southern Ocean,94442.75715169852,-9783.089665351548,237802.01159875217,94442.75715169852,144.20564831819175,118830.8904097731,0.003674223369430997,NA,0.12567154788707643,0,9927.29531366974,9927.29531366974,9927.29531366974,Buyers
NIU,Central Indo-Pacific,249557.81695763918,71313.34354114532,304658.9353886076,106975.7430141807,273.1847737252011,133325.63224476165,0.004277642564668971,NA,7.214766619540059,1028696.3876320568,-1099736.546399477,957656.2288646367,957656.2288646367,Sellers
