iso3,realm,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,Southern Ocean,537308.9181973266,1096146.356737411,660581.8385486758,534019.912529566,1034808.0797718043,656551.0434020435,18.532055789625048,NA,19.038559980778814,0.28064791809291534,62617.93168278202,-123956.20864838886,1279.6547171751736,1279.6547171751736,Sellers
ATF,Southern Ocean,294936.72373045457,792925.1193953604,349107.5327795674,306419.3847259621,1060750.3401522946,362584.2896235725,30.707519135524976,NA,19.038559980778814,0.28064791809291534,218613.33010191994,49211.890655014315,486438.5508588542,49211.890655014315,Buyers
HMD,Southern Ocean,92409.89126465595,98393.29578990396,109177.61347544221,113469.3288070502,1586561.435602453,134416.8171388003,135.40898653278245,NA,19.038559980778814,0.28064791809291534,400941.3648123382,1087226.7750002109,1889109.5046248874,1087226.7750002109,Buyers
CAN,Arctic,2724414.0476559913,121844346.0999135,3372197.078729622,2386586.0888578645,7944875.362231799,2980102.735071519,56.45866558910209,NA,1594.6763749784268,0.5334850081198761,538726264.7025582,-652625735.4402399,424826793.9648765,424826793.9648765,Sellers
ARG,Temperate South America,548989.6109073883,494536697.4606044,654135.290999982,664458.9677996144,666066005.9752018,792926.8354700132,1646.6427552813357,NA,1399.5946354973612,0.1153704954057867,161610292.47068995,9919016.043907464,333139600.98528737,9919016.043907464,Buyers
IRL,Temperate Northern Atlantic,232702.71709563484,141357964.41374743,273318.700203946,254874.03517817828,198645618.7373691,298960.34148462705,2723.809855584628,NA,2436.8556319810427,0.9930393036123429,54028301.33788911,3259352.985732548,111315955.66151077,3259352.985732548,Buyers
RUS,Arctic,2569198.844809685,347918544.2191961,3266954.0883467193,2435057.40110802,170573646.8324279,3104394.161312426,1060.6941002394603,NA,1594.6763749784268,0.5334850081198761,213912191.17654374,-391257088.56331193,36567293.78977555,36567293.78977555,Sellers
PCN,Eastern Indo-Pacific,345863.5425928391,186962.84703877568,453524.9883039321,316058.0470023994,33404.40148517086,414042.83288574364,1.9666161863185312,NA,9.966063630443859,0.3963044972499923,297043.46559123596,-450601.91114484076,143485.02003763115,143485.02003763115,Sellers
PYF,Eastern Indo-Pacific,3039817.0266567837,6001784.5217116475,3633287.0006018565,3033808.5977725578,5945685.569913897,3625680.036892369,9.129342154688802,NA,9.966063630443859,0.3963044972499923,59880.38457919209,-115979.33637694287,3781.432781441137,3781.432781441137,Sellers
SJM,Arctic,412470.62055895774,119137690.6223072,501197.8108457915,385305.98404939607,83491976.79357381,468849.7756285453,1082.702157866205,NA,1594.6763749784268,0.5334850081198761,43318804.07667444,-78964517.90540782,7673090.247941062,7673090.247941062,Sellers
GRL,Arctic,849961.123302564,321508435.8077119,1009927.8262059015,1062349.2554702912,799449973.2311821,1263551.2956779287,3137.962817211562,NA,1594.6763749784268,0.5334850081198761,338690336.6936703,139251200.72979993,816631874.1171405,139251200.72979993,Buyers
TKL,Eastern Indo-Pacific,239555.3907726282,204150.5874813199,304221.0465524965,219025.00912484477,87871.47152706103,278773.84596400586,4.092488466162979,NA,9.966063630443859,0.3963044972499923,204607.0898591064,-320886.2058133653,88327.97390484753,88327.97390484753,Sellers
ISL,Temperate Northern Atlantic,304495.7751333304,142869617.13042587,366454.6354571228,281419.149503933,91844508.04141702,337714.0894307963,1921.007399748175,NA,2436.8556319810427,0.9930393036123429,56234405.13211513,-107259514.221124,5209296.043106273,5209296.043106273,Sellers
ZAF,Temperate Southern Africa,707833.2582080604,1899370.7694642544,783461.5069011394,711422.2706576588,2083935.4836364961,788067.2071804784,52.98997953350177,NA,48.30990161208785,0.2665604811107063,173384.83832465738,11179.875847584364,357949.55249689915,11179.875847584364,Buyers
ZAF,Southern Ocean,226679.4901140786,118041.13886356354,272290.24843500066,200402.9237121407,3635.270700472283,241887.01848552766,0.17140733426439225,NA,19.038559980778814,0.28064791809291534,500267.98553221184,-614673.8536953031,385862.1173691206,385862.1173691206,Sellers
NIU,Central Indo-Pacific,260916.44637605041,322444.6013536453,319135.0553046284,226997.30834716384,1412.750899279233,276227.01023643947,0.029710035934212568,NA,1520.206397574364,0.7454221795017648,51564090.63172128,-51885122.48217565,51243058.78126691,51243058.78126691,Sellers
WLF,Eastern Indo-Pacific,138025.30905695123,168685.52415776253,176880.82420162729,133681.06714092565,136741.84485221526,171334.99927620552,5.425930000233246,NA,9.966063630443859,0.3963044972499923,43294.99136115229,-75238.67066669956,11351.312055605027,11351.312055605027,Sellers
NAM,Temperate Southern Africa,329663.2805927203,1632432.469247277,401538.02814677707,369976.18181419896,4318875.40387901,457243.797204916,103.14481854771684,NA,48.30990161208785,0.2665604811107063,1947512.2917074496,738930.6429242836,4633955.226339183,738930.6429242836,Buyers
GEO,Temperate Northern Atlantic,13155.290999185087,1233625.6190218925,20422.91714148615,12696.050789296447,1151645.879124599,19655.91887251584,178.51167674793237,NA,2436.8556319810427,0.9930393036123429,1119102.0918992874,-1201081.831796581,1037122.3520019939,1037122.3520019939,Sellers
BMU,Tropical Atlantic,332392.16704111773,1248528.281929016,372227.1909775926,289181.18532577244,6235.152023685906,322804.2057195465,0.0434512374275475,NA,615.2606878511589,0.36492947873267156,26586018.332907192,-27828311.462812524,25343725.20300186,25343725.20300186,Sellers
MNP,Central Indo-Pacific,610388.6775714137,1995986.2967677116,709479.1099468991,531038.1494871299,973355.6838496646,615837.8359809397,4.344094153231418,NA,1520.206397574364,0.7454221795017648,120629180.44463249,-121651811.05755053,119606549.83171444,119606549.83171444,Sellers
TWN,Central Indo-Pacific,239196.25717238875,56612752.6185379,265021.5732312629,227689.19821885767,41000101.624632835,251957.25885417804,1114.3693304995872,NA,1520.206397574364,0.7454221795017648,17493104.638423324,-33105755.63232839,1880453.6445182562,1880453.6445182562,Sellers
SHN,Tropical Atlantic,770446.817739245,2348171.213125229,840528.7603651116,677454.5613092787,60334.06183484802,740914.2623627644,2.334485776643976,NA,615.2606878511589,0.36492947873267156,57214479.65593242,-59502316.8072228,54926642.50464204,54926642.50464204,Sellers
CHL,Eastern Indo-Pacific,342960.8119723036,47688.82375907898,458755.8889925755,321327.75393555313,13378.040814053049,429731.51073451387,0.33203555636285653,NA,9.966063630443859,0.3963044972499923,215596.43291534012,-249907.21586036606,181285.64997031417,181285.64997031417,Sellers
BHS,Tropical Atlantic,333607.7801286949,30133004.927820206,399486.1340565814,422356.1667823664,89859718.52689093,511162.7262066276,724.2270705056737,NA,615.2606878511589,0.36492947873267156,54603393.41821854,5123320.18085219,114330107.01728927,5123320.18085219,Buyers
